feature,n_pairs,raw_auc,raw_ci_low,raw_ci_high,gate_auc,gate_ci_low,gate_ci_high,verdict
sentence_length_std,1810,0.5547452931062218,0.5365892424340902,0.5736903642183643,0.5547452931062218,0.5365892424340902,0.5736903642183643,pass
mean_sentence_length,1810,0.5359375586635202,0.5165114874907777,0.5547489935748074,0.5359375586635202,0.5165114874907777,0.5547489935748074,pass
type_token_ratio,1810,0.45638181263753025,0.43679304191796614,0.4749182724667435,0.5436181873624697,0.5250817275332564,0.5632069580820338,pass
mtld,1810,0.4317580146387518,0.41316398427811984,0.45039003243171305,0.5682419853612481,0.549609967568287,0.5868360157218802,pass
transition_phrase_rate,1810,0.5153632414649252,0.49755525702027525,0.532847997568583,0.5153632414649252,0.49755525702027525,0.532847997568583,pass
paragraph_length_variance,1810,0.5203746895316655,0.5016137992338872,0.540080935857675,0.5203746895316655,0.5016137992338872,0.540080935857675,pass
punctuation_variety,1810,0.5026890213024698,0.48425772831009706,0.5221600341246584,0.5026890213024698,0.48425772831009706,0.5221600341246584,pass
contraction_rate,1810,0.538745471367013,0.5201724858934089,0.5580050823397196,0.538745471367013,0.5201724858934089,0.5580050823397196,pass
function_word_entropy,1810,0.44016786428004767,0.4223162214814971,0.45832708329326893,0.5598321357199523,0.5416729167067311,0.5776837785185029,pass
"combined_model (logistic regression, 5-fold CV)",1810,0.6011759717883983,0.5828213616330998,0.6191821525731321,0.6011759717883983,0.5828213616330998,0.6191821525731321,pass
