feature,n,raw_rho,raw_ci_low,raw_ci_high,rho_vs_word_count,partial_rho,partial_ci_low,partial_ci_high,verdict
sentence_length_std,24695,-0.035562365134232804,-0.04819831282211505,-0.023695107332724837,0.0779699704999907,-0.14532518839973754,-0.15766377196126324,-0.13375694215083725,FAIL (anti-correlated with quality)
mean_sentence_length,24695,0.0792746951305438,0.06700829564130195,0.09106021078042854,0.18009276350302605,-0.08891810532503883,-0.1016684970137764,-0.07642759269710903,pass
type_token_ratio,24695,-0.573245109174744,-0.5812699379429391,-0.5641432151912459,-0.6776535608611948,-0.12501069142967997,-0.1390400033356507,-0.10972276717747399,FAIL (anti-correlated with quality)
mtld,24695,0.12821091740492663,0.11576912286202186,0.1409089359273778,0.11931774537681157,0.05837376341619447,0.04502805059928361,0.07141039406336795,pass
transition_phrase_rate,24695,0.25194443965102065,0.24114646742260745,0.2638236912606904,0.20852754997230166,0.14721064697614666,0.13544589319121308,0.15866303354420982,pass
paragraph_length_variance,24695,0.22348222879728627,0.2107020184581356,0.23624790501404105,0.2764535885980803,0.022489198757349848,0.009509121227525591,0.034851354109255335,pass
punctuation_variety,24695,0.24317909434672952,0.23143304756900873,0.2549367520568834,0.3346169875134277,-0.01663819203792011,-0.029741677274109774,-0.0037781677839247175,pass
contraction_rate,24695,-0.037371918185335605,-0.050863979493936166,-0.024814528647456435,-0.04514003379828297,-0.004883343646166589,-0.017078812455121696,0.007346390630990732,pass
function_word_entropy,24695,0.40259848593100905,0.3923760749947042,0.41297214377616354,0.4539232808479612,0.10109712587646792,0.08732504062851369,0.11404816019839603,pass
"combined_model (Ridge, 5-fold CV, drops sentence_length_std, type_token_ratio)",24695,0.5093984671314384,0.5000014204638675,0.5194722013016898,0.5655632146641969,0.15054511242317728,0.1355299679495496,0.16410037837251154,pass
