source,n,tpr,tpr_ci_low,tpr_ci_high
palm-text-bison1,349,0.1489971346704871,0.11454154727793697,0.18631805157593115
kingki19_palm,1384,0.21893063583815028,0.1972543352601156,0.2398843930635838
cohere-command,350,0.2542857142857143,0.21142857142857144,0.3029285714285714
NousResearch/Llama-2-7b-chat-hf,400,0.29,0.25,0.335
llama2_chat,2420,0.29421487603305785,0.2756198347107438,0.3128099173553719
llama_70b_v1,1172,0.295221843003413,0.26875,0.31913395904436853
mistral7binstruct_v2,2421,0.3056588186699711,0.2878975629904998,0.3250722841800909
mistral7binstruct_v1,2421,0.35811648079306074,0.3374638579099546,0.37712722015695993
falcon_180b_v1,1055,0.3867298578199052,0.3582938388625592,0.41613744075829384
radek_500,500,0.402,0.354,0.44804999999999995
mistralai/Mistral-7B-Instruct-v0.1,399,0.41102756892230574,0.3659147869674185,0.46115288220551376
chat_gpt_moth,2421,0.42131350681536556,0.40148698884758366,0.44072697232548536
radekgpt4,200,0.46,0.385,0.525125
darragh_claude_v6,1000,0.706,0.679,0.736
darragh_claude_v7,1000,0.722,0.693,0.749
claude_sonnet_5_bedrock,1000,0.736,0.709,0.764
gpt_5.6_terra_openai,1000,0.781,0.757,0.805
