attack,n,fpr,fpr_ci_low,fpr_ci_high
alternative_spelling,493,0.3711967545638945,0.3306288032454361,0.41379310344827586
article_deletion,493,0.42190669371196754,0.3813387423935091,0.4665314401622718
homoglyph,493,0.9979716024340771,0.9939148073022313,1.0
insert_paragraphs,493,0.3306288032454361,0.2880324543610548,0.3711967545638945
none,493,0.3691683569979716,0.3286004056795132,0.4117647058823529
number,493,0.3691683569979716,0.3286004056795132,0.4117647058823529
paraphrase,493,0.2515212981744422,0.2150101419878296,0.2920892494929006
perplexity_misspelling,493,0.3691683569979716,0.3286004056795132,0.4117647058823529
synonym,493,0.38742393509127787,0.3448275862068966,0.4300202839756592
upper_lower,493,0.3691683569979716,0.3286004056795132,0.4117647058823529
whitespace,493,0.3691683569979716,0.3286004056795132,0.4117647058823529
zero_width_space,493,1.0,1.0,1.0
