model,attack,n,category,tpr,tpr_ci_low,tpr_ci_high
llama-chat,homoglyph,107,obfuscation,1.0,1.0,1.0
llama-chat,number,107,obfuscation,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,upper_lower,107,obfuscation,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,whitespace,107,obfuscation,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,zero_width_space,107,obfuscation,1.0,1.0,1.0
llama-chat,alternative_spelling,107,style,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,article_deletion,107,style,0.5700934579439252,0.4764018691588785,0.6637850467289718
llama-chat,insert_paragraphs,107,style,0.45794392523364486,0.3644859813084112,0.5514018691588785
llama-chat,none,107,style,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,paraphrase,107,style,0.308411214953271,0.22429906542056074,0.40186915887850466
llama-chat,perplexity_misspelling,107,style,0.5233644859813084,0.42990654205607476,0.616822429906542
llama-chat,synonym,107,style,0.5607476635514018,0.4672897196261682,0.6635514018691588
