source,projection_toward_high_quality,tpr
palm-text-bison1,0.9623126997655316,0.1489971346704871
kingki19_palm,0.9547248005297377,0.2189306358381502
cohere-command,0.6479681588731571,0.2542857142857143
NousResearch/Llama-2-7b-chat-hf,0.052832029113275836,0.29
llama2_chat,0.3364086771803064,0.2942148760330578
llama_70b_v1,0.9536560860000806,0.295221843003413
mistral7binstruct_v2,1.4173580848316405,0.3056588186699711
mistral7binstruct_v1,1.5096268841849259,0.3581164807930607
falcon_180b_v1,1.5461710094583683,0.3867298578199052
radek_500,0.13191833550918192,0.402
mistralai/Mistral-7B-Instruct-v0.1,1.0154762491914449,0.4110275689223057
chat_gpt_moth,0.8198715221598875,0.4213135068153655
radekgpt4,0.10453876070361118,0.46
darragh_claude_v6,0.8152389731945293,0.706
darragh_claude_v7,0.786460439556702,0.722
claude_sonnet_5_bedrock,0.6337770408842089,0.736
gpt_5.6_terra_openai,0.774459363050278,0.781
