n_full,n_subsampled,dist_ci_low,dist_ci_high,dist_mean,trace_ci_low,trace_ci_high,trace_mean,det_ci_low,det_ci_high,det_mean,mean_dist_to_centroid,cov_trace,cov_det,source,tpr,n_prompts_matched,centroid_dist_from_human
349,200,2.1756990915021084,2.5023786107642727,2.337731311535917,5.640687083207514,7.654764086966508,6.584570531615296,3.307048043691166e-07,1.1112925653792465e-05,3.0675386287342867e-06,2.337731311535917,6.584570531615296,3.0675386287342867e-06,palm-text-bison1,0.1489971346704871,8,2.1603930543406986
1384,200,1.4738459499132746,1.6427879229415652,1.5572479306285414,2.490529878917907,3.134215491387617,2.806846238607917,1.9665679132779098e-10,6.739918887861759e-09,1.4644318669518119e-09,1.5572479306285414,2.806846238607917,1.4644318669518119e-09,kingki19_palm,0.2189306358381502,2,2.5489743752292524
350,200,2.2203240141207767,2.5406555625057003,2.384086745344981,5.930471478513731,7.856637098893037,6.861811448019781,1.57832712181987e-06,0.00010979877846840562,2.9329501009548508e-05,2.384086745344981,6.861811448019781,2.9329501009548508e-05,cohere-command,0.2542857142857143,8,1.7129469156009665
400,200,1.9008970302803505,2.1660893723542154,2.024943026467282,4.270193004247457,5.735549649691032,4.944892118530507,1.6721472379398593e-08,1.680905254967071e-06,4.859387844070163e-07,2.024943026467282,4.944892118530507,4.859387844070163e-07,NousResearch/Llama-2-7b-chat-hf,0.29,2,2.1157499587532493
2420,200,3.3056876802478956,3.80923860497302,3.5511833639536725,13.71232471546858,18.159478206523477,15.819296728381197,8.745635357573888e-07,4.108742176506482e-05,9.387765528387505e-06,3.5511833639536725,15.819296728381197,9.387765528387505e-06,llama2_chat,0.2942148760330578,15,4.6454001459864855
1172,200,3.1062013731721834,3.585309085052101,3.3483452917427456,11.521671963527977,15.863545434577649,13.518185326302035,5.278937139568095e-07,1.0151617118491018e-05,2.672092234611164e-06,3.3483452917427456,13.518185326302035,2.672092234611164e-06,llama_70b_v1,0.295221843003413,15,2.400790683364416
2421,200,2.044294838737362,2.450269083392063,2.235407202176415,5.295197256476913,8.977508457366486,6.86523690365886,1.126018838603145e-07,1.2987991718711115e-05,2.1869991788408625e-06,2.235407202176415,6.86523690365886,2.1869991788408625e-06,mistral7binstruct_v2,0.3056588186699711,15,2.3067104256435935
2421,200,1.7729886983046441,2.2053063387462255,1.9647697144807486,4.082352685733218,7.824273678457583,5.68759288482621,5.502079019415742e-09,3.7600176888563908e-06,3.3398425972214505e-07,1.9647697144807486,5.68759288482621,3.3398425972214505e-07,mistral7binstruct_v1,0.3581164807930607,15,2.7113292718632294
1055,200,1.9243166387708561,2.2412747366217727,2.069547141033427,4.401355431285508,7.542247326575289,5.456419905838809,1.9051672205698734e-08,7.924104602407134e-07,1.6296299628031426e-07,2.069547141033427,5.456419905838809,1.6296299628031426e-07,falcon_180b_v1,0.3867298578199052,15,2.615722372409585
500,200,1.4160574775920252,1.5621467443083272,1.4878400314715494,2.228051065776534,2.697615433399123,2.45863504683285,5.778238646827392e-13,5.058347234541884e-12,2.069002126476294e-12,1.4878400314715494,2.45863504683285,2.069002126476294e-12,radek_500,0.402,2,2.1632982710322843
399,200,1.6504117208782068,1.866418981173388,1.7558346516064331,3.2206686120625476,4.271784249702442,3.7100784111671543,1.4366529155895228e-11,3.907257976014244e-10,1.239129418266087e-10,1.7558346516064331,3.7100784111671543,1.239129418266087e-10,mistralai/Mistral-7B-Instruct-v0.1,0.4110275689223057,2,2.9885019897624847
2421,200,2.12970552362161,2.488318548504402,2.3080593111397745,5.627014407251751,8.416804895075401,6.91953609565082,1.239885712223944e-07,5.4701194193231776e-06,1.3213044675308942e-06,2.3080593111397745,6.91953609565082,1.3213044675308942e-06,chat_gpt_moth,0.4213135068153655,14,2.531767426627572
200,200,1.7418489985923975,1.938340613943837,1.8345551456746712,3.4037940925594956,4.338204569589512,3.836297259544599,3.284877574332823e-10,1.294850985473057e-09,7.243505407818687e-10,1.8345551456746712,3.836297259544599,7.243505407818687e-10,radekgpt4,0.46,2,3.096501586337171
1000,200,2.1294364160185726,2.4565898712325325,2.2893160287500995,5.4949058714218015,7.7338504800925065,6.553756649251475,4.4739452135339395e-09,3.919562978844689e-08,1.621508779386626e-08,2.2893160287500995,6.553756649251475,1.621508779386626e-08,darragh_claude_v6,0.706,15,5.066415258279854
1000,200,2.1280094225297934,2.4520008022357596,2.278424972122399,5.410294820734282,7.676834203583961,6.473579326622454,3.923050244291022e-09,3.557018142170874e-08,1.3737553660225535e-08,2.278424972122399,6.473579326622454,1.3737553660225535e-08,darragh_claude_v7,0.722,15,4.969063015496132
1000,200,1.8570933631752553,2.075609983707181,1.9660068111278275,4.075456927184674,5.055261158064788,4.550896504235701,2.527791458428303e-10,1.2860179882362642e-09,6.43991574473171e-10,1.9660068111278275,4.550896504235701,6.43991574473171e-10,claude_sonnet_5_bedrock,0.736,15,5.34264120938548
1000,200,1.6021208808368133,1.8632007968543087,1.7237359748024523,3.2590859097611493,4.426524626767642,3.8129239127945542,1.4648839127372464e-14,5.201264107916991e-14,2.9321773893679736e-14,1.7237359748024523,3.8129239127945542,2.9321773893679736e-14,gpt_5.6_terra_openai,0.781,15,5.613438724030465
24695,200,2.228146563379845,2.699527678521762,2.4222011646264248,5.815231796440003,15.356079275496771,8.37394957691041,0.00045378434011469156,0.4082188252578883,0.06277632081364264,2.4222011646264248,8.37394957691041,0.06277632081364264,human (full corpus),,14,0.0
