source,n,mean_dist_to_centroid
palm-text-bison1,98,1.7869838689177207
kingki19_palm,1384,1.5626816849318266
cohere-command,99,2.1381963185591393
NousResearch/Llama-2-7b-chat-hf,400,2.0292585190777133
llama2_chat,12,3.041355547988833
llama_70b_v1,219,3.16586346858704
mistral7binstruct_v2,16,1.9014260533810015
mistral7binstruct_v1,18,2.1009254707012475
falcon_180b_v1,181,1.9733693887294246
radek_500,500,1.4900359050924372
mistralai/Mistral-7B-Instruct-v0.1,399,1.7626144973696598
chat_gpt_moth,15,2.0502952917196744
radekgpt4,200,1.839542211189755
darragh_claude_v6,104,2.2834497479617286
darragh_claude_v7,123,2.6116881733729147
claude_sonnet_5_bedrock,134,1.9832989895850945
gpt_5.6_terra_openai,134,2.7024013834811416
